Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2012-01-01;59610.0;11.7;4.6
2012-01-04;78337.0;8.1;4.6
2012-01-13;78700.0;5.3;4.8
2012-01-14;74666.0;2.4;4.8
2012-01-19;80026.0;8.4;5.0
2012-01-26;77829.0;7.2;5.3
2012-01-27;76717.0;5.4;5.3
2012-01-30;87785.0;1.4;5.5
2012-02-06;96115.0;-3.3;5.9
2012-02-14;88913.0;3.1;6.3
2012-02-17;80113.0;6.0;6.5
2012-02-19;71373.0;4.9;6.6
2012-02-22;81441.0;3.8;6.8
2012-02-23;77200.0;7.3;6.9
2012-03-02;68066.0;9.5;7.3
2012-03-15;65206.0;11.7;8.3
2012-03-19;69108.0;7.2;8.7
2012-03-25;51114.0;13.8;9.3
2012-04-01;52219.0;9.8;10.1
2012-04-05;64467.0;10.2;10.6
2012-04-07;56739.0;9.5;10.8
2012-04-13;65244.0;9.1;11.6
2012-04-16;68817.0;7.0;12.0
2012-04-18;69052.0;8.9;12.3
2012-05-02;59099.0;12.7;14.1
2012-05-03;58289.0;14.1;14.2
2012-05-04;57722.0;13.8;14.3
2012-05-09;57889.0;17.3;15.0
2012-05-10;56351.0;20.4;15.1
2012-05-12;49547.0;14.6;15.3
2012-01-03;76698.0;8.4;4.6
2012-05-21;59961.0;12.4;16.3
2012-01-08;66520.0;7.9;4.7
2012-06-09;47918.0;15.1;18.3
2012-01-12;80367.0;5.1;4.7
2012-06-17;46149.0;18.3;19.1
2012-01-15;75776.0;1.1;4.8
2012-06-22;54699.0;17.7;19.5
2012-01-17;86516.0;1.0;4.9
2012-06-26;56833.0;20.4;19.8
2012-01-20;77142.0;8.6;5.0
2012-06-28;57766.0;24.0;20.0
2012-01-21;67308.0;9.7;5.1
2012-07-06;55038.0;18.0;20.6
2012-01-23;76532.0;7.9;5.2
2012-07-15;45903.0;16.5;21.0
2012-01-28;72294.0;4.2;5.4
2012-07-18;56503.0;21.5;21.1
2012-01-29;74171.0;2.6;5.4
2012-07-24;55406.0;22.2;21.2
2012-01-31;89707.0;0.6;5.5
2012-08-08;48931.0;20.5;20.9
2012-02-01;94396.0;-1.5;5.6
2012-08-12;43660.0;21.1;20.7
